context,pun_word,alter_word,pun_word_sense,alter_word_sense,new_pun,user_pun
"flock,doves,stage a",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,The flock of doves had to stop flying due to the hail of a storm that just started
"never die,tailors",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"never die,tailors",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"never die,tailors",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,yes,"The tailors do not move, but they like moving fluid, still."
"rough,gardener",cuts,cuts,the act of reducing the amount or number,the act of shortening something by chopping off the ends,no,{}
"rough,gardener",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,Due to the heavy fog the rough gardener was afraid that he would mist his harvest time
"rough,gardener",potty,potty,a receptacle for urination or defecation in the bedroom,marked by foolish or unreasoning fondness,no,{}
"hospital,boy swallowed a pillow,condition as",sawly,sorely,cut with a saw,to a great degree,no,{}
"hospital,boy swallowed a pillow,condition as",refluxes,reflex,an abnormal backward flow of body fluids,an automatic instinctive unlearned reaction to a stimulus,yes,"The boy who swallowed a pillow was at the hospital practicing his Karate, he had little to no refluxes, though"
"hospital,boy swallowed a pillow,condition as",dead,dead,no longer having or seeming to have or expecting to have life,no longer having force or relevance,no,{}
moby dick,mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,Lobby dick was navigating out in the cold ocean morning and he mist his wife!
moby dick,evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
moby dick,cop,cop,"choose not to do something, as out of fear of failing",uncomplimentary terms for a policeman,yes,Moby dick just became a policeman but when it came time to fight crime he would often cop out
"movie,beaver",puckishly,puck,in an appealing but bold manner,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey,no,{}
"movie,beaver",buzz,buzz,leave immediately; used usually in the imperative form,fly low,yes,"The beaver was seeing a movie when a scary bee came, so he had to buzz out of the area!"
"movie,beaver",cannily,cannes,with foresight,a port and resort city on the French Riviera; site of an annual film festival,no,{}
"case,judge",rhyme,crime,a piece of poetry,(criminal law) an act punishable by law; usually considered an evil act,yes,The judge sent the poet's case to the supreme court because his rhyme was quite complicated
"case,judge",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"case,judge",Classified,Classified,a short ad in a newspaper or magazine (usually in small print) and appearing along with other ads of the same type,official classification of information or documents; withheld from general circulation,no,{}
"wage,trapeze artist",prince,print,a male member of a royal family other than the sovereign (especially the son of a sovereign),a printed picture produced from a photographic negative,yes,The trapeze artist was so focus on his new royal painting that he forgot about the prince he was supposed to photograph
"wage,trapeze artist",cuts,cuts,the act of reducing the amount or number,the act of shortening something by chopping off the ends,no,{}
"wage,trapeze artist",truss,trust,"a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure",a trustful relationship,yes,The trapeze artist sells his building paintings based solely on truss
"baseball,line",run,run,"move fast by using one's feet, with one foot off the ground at any given time","be operating, running or functioning",yes,The baseball player hurt his leg badly so now he could not run the business
"baseball,line",steal,steal,take without the owner's consent,steal a base,yes,"baseball players make the thieves, they know just how to steal and get away with it!"
"baseball,line",sign,sign,cease broadcasting; get off the air; as of radio stations,communicate in sign language,no,{}
"scientist,liquid chemicals,problem",cannily,cannes,with foresight,a port and resort city on the French Riviera; site of an annual film festival,no,{}
"scientist,liquid chemicals,problem",waste,waste,any materials unused and rejected as worthless or unwanted,become physically weaker,no,{}
"scientist,liquid chemicals,problem",Rabbit,rapid,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,characterized by speed; moving with or capable of moving with high speed,yes,"The scientists were trying to make the new chemicals quickly, they were rabbit with their appoach"
"knocker,said,try,not answering",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"knocker,said,try,not answering",locked,locked,become rigid or immoveable,secure by locking,yes,The knocker said he was late because the traffic was locked in a grid
"knocker,said,try,not answering",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"beauty school,class",Classified,Classified,a short ad in a newspaper or magazine (usually in small print) and appearing along with other ads of the same type,official classification of information or documents; withheld from general circulation,yes,"I could Toby tel my friends about my beauty class even though it was on the newspaper, it was actually classified"
"beauty school,class",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,I mist my beauty class due to the crazy fog
"beauty school,class",go,go,become extinguished,leave the house to go somewhere,no,{}
singing,still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
singing,mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"if you like singing on foggy days, there's a chance you will mist the sunrise"
singing,horse,hoarse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,deep and harsh sounding as if from shouting or illness or emotion; ; ; ; - Virgil Thomson,yes,My singing sounded horrible while riding the hoarse
carnival,evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
carnival,hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,"The carnival was burning up, it was hot as hail!"
carnival,freight,fright,goods carried by a large vehicle,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight),yes,"I am never scared in the carnival since I work for UPS, I am used to not feeling freight"
bakery,waffle,awful,pancake batter baked in a waffle iron,extreme in degree or extent or amount or impact,yes,"The bakery had a bad smell, it was really waffle!"
bakery,stationery,stationary,paper cut to an appropriate size for writing letters; usually with matching envelopes,standing still,yes,"The bakery tried selling paper products, but it did not sell much, it was stationery"
bakery,bowled,bowled,cause to overturn from an upright or normal position,hurl a cricket ball from one end of the pitch towards the batsman at the other end,no,{}
push the envelope,turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
push the envelope,still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
push the envelope,sign,sign,cease broadcasting; get off the air; as of radio stations,communicate in sign language,yes,"We had to push the envelope, but John was deaf so he could be only one to sign the paper"
"take,elevators",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"take,elevators",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"take,elevators",board,board,a committee having supervisory powers,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,yes,"I like to take elevators even if they are made of wood, I feel like I am on board"
gardener,manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"The gardener was very rude, he had no manor"
gardener,potty,potty,a receptacle for urination or defecation in the bedroom,marked by foolish or unreasoning fondness,no,{}
gardener,pest,best,a persistently annoying person,(superlative of `good') having the most positive qualities,yes,The gardener wanted to kill all the insects so he needed the pest spray
"pepper,salt",chicken,chicken,"a person who lacks confidence, is irresolute and wishy-washy",a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,yes,"The hen didn't want to add pepper, she was a chicken!"
"pepper,salt",brine,brain,a strong solution of salt and water used for pickling,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,no,{}
"pepper,salt",evenly,eve,in a level and regular way,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
"up,watch",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,I was up all night watching the fog but somehow I mist it
"up,watch",shoots,shoots,a new branch,the act of shooting at targets,no,{}
"up,watch",go,go,become extinguished,leave the house to go somewhere,no,{}
"building,jump off,allegedly,threatened,man",front,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,the side that is forward or prominent,no,{}
"building,jump off,allegedly,threatened,man",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,The man who was going to jump off the building during the storm was only stopped by the thought of endless hail
"building,jump off,allegedly,threatened,man",go,go,become extinguished,leave the house to go somewhere,no,{}
"pop singer,bought,house",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"The pop singer had a smoke machine at the show, but the crowd seemed to mist it"
"pop singer,bought,house",manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"The pop singer was super rich, but still had no manor at the dinner table"
"pop singer,bought,house",steal,steal,take without the owner's consent,steal a base,no,{}
refereed,meanly,mean,in a nasty ill-tempered manner,an average of n numbers computed by adding some function of the numbers and dividing by some function of n,no,{}
refereed,mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,yes,He refereed the game so well that he left a mark on that court
refereed,calling,calling,the particular occupation for which you are trained,a telephone connection,no,{}
"einstein,parents",assented,send,to agree or express agreement,cause to be directed or transmitted to another place,yes,Einsteins parents weren't sure where their son should be assented for school
"einstein,parents",wavelength,wavelength,the distance (measured in the direction of propagation) between two points in the same phase in consecutive cycles of a wave,a shared orientation leading to mutual understanding,yes,Einsteins parents were afraid that their son's brain was on a totally different wavelength
"einstein,parents",pupils,pupils,a learner who is enrolled in an educational institution,the contractile aperture in the center of the iris of the eye; resembles a large black dot,no,{}
"opera,orchestra conductors",delete,delight,cut or eliminate,a feeling of extreme pleasure or satisfaction,yes,"The orchestra conductors deleted the worst song from the playlist, to the crowd's delete!"
"opera,orchestra conductors",organically,organ,in an organic manner,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard,no,{}
"opera,orchestra conductors",score,score,a resentment strong enough to justify retaliation,the act of scoring in a game or sport,no,{}
"disputes,church",mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,yes,"The devil made a mark on the church as they dispute, but nobody saw it"
"disputes,church",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"disputes,church",truss,trust,"a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure",a trustful relationship,yes,The church is build by truss
peasant,stalling,stalling,postpone doing what one should be doing,small area set off by walls for special use,yes,"The peasant could not be seen, he must have been stalling behind something"
peasant,manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"The peasant was not very rich, but he did have manor at the dinner table"
peasant,horse,hoarse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,deep and harsh sounding as if from shouting or illness or emotion; ; ; ; - Virgil Thomson,no,{}
"get  over,old cricketers",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",yes,The old cricketers were going in circles and they missed their turn
"get  over,old cricketers",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,The old cricketers will probably go to hail after being so mean to people in the horrible storm
"get  over,old cricketers",struck,struck,hit against; come into sudden contact with,cause to experience suddenly,no,{}
"prodigal son,bad  day",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"The prodigal son traveled back home in the fog, but mist his house altogether"
"prodigal son,bad  day",evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
"prodigal son,bad  day",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,The prodigal son had never been in such a hail of a storm!
"back,up,keys",stable,stable,a farm building for housing horses or other livestock,resistant to change of position or condition,yes,She had the backup key to put away the horses but she was not stable
"back,up,keys",go,go,become extinguished,leave the house to go somewhere,no,{}
"back,up,keys",down,down,soft fine feathers,filled with melancholy and despondency,no,{}
"farmer,bull",cannily,cannes,with foresight,a port and resort city on the French Riviera; site of an annual film festival,no,{}
"farmer,bull",Rabbit,rapid,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,characterized by speed; moving with or capable of moving with high speed,no,{}
"farmer,bull",horse,hoarse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,deep and harsh sounding as if from shouting or illness or emotion; ; ; ; - Virgil Thomson,no,{}
wedding,throne,throw,"the chair of state for a monarch, bishop, etc.",get rid of,yes,The king was so happy to throne a wedding for his daughter
wedding,mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,no,{}
wedding,party,party,an organization to gain political power,a group of people gathered together for pleasure,no,{}
"judges,die",rounded,rounded,seek out and bring together,express as a round number,no,{}
"judges,die",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"judges,die",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
masochist,mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,yes,The masochist wanted to make history but his pain left a mark
masochist,cannily,cannes,with foresight,a port and resort city on the French Riviera; site of an annual film festival,no,{}
masochist,evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
cashiers,espresso,express,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans,the act of waiting (remaining inactive in one place while expecting something),yes,"The Starbucks cashiers were in a rush, customers were waiting on their express for a long time"
cashiers,sign,sign,cease broadcasting; get off the air; as of radio stations,communicate in sign language,no,{}
cashiers,sheepishly,sheep,in a sheepish manner,woolly usually horned ruminant mammal related to the goat,no,{}
"lousy dates,and dining",party,party,an organization to gain political power,a group of people gathered together for pleasure,no,"There so many of us at the lousy date, I forgot how big the party was."
"lousy dates,and dining",toasted,toasted,make brown and crisp by heating,propose a toast to,yes,We raised our pieces of bread and toasted to lousy dates!
"lousy dates,and dining",potty,potty,a receptacle for urination or defecation in the bedroom,marked by foolish or unreasoning fondness,no,{}
"movie,popular",impression,impression,a vague idea in which some confidence is placed,a symbol that is the result of printing or engraving,yes,The movie was so popular that the writer made sure it made a strong impression on the newspaper article
"movie,popular",shoots,shoots,a new branch,the act of shooting at targets,no,{}
"movie,popular",shorts,shorts,(used in the plural) trousers that end at or above the knee,accidental contact between two points in an electric circuit that have a potential difference,yes,"The movie was quite popular, even if the electrician in it were in shorts"
"25 cent,profit",rounded,rounded,seek out and bring together,express as a round number,no,{}
"25 cent,profit",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"25 cent,profit",steal,steal,take without the owner's consent,steal a base,no,{}
sleeping,whine,wine,a complaint uttered in a plaintive whining way,fermented juice (of grapes especially),no,I had trouble sleeping because I drank too much whine
sleeping,potty,potty,a receptacle for urination or defecation in the bedroom,marked by foolish or unreasoning fondness,no,{}
sleeping,down,down,soft fine feathers,filled with melancholy and despondency,no,{}
"bankers,generous",tenderly,tender,with tenderness; in a tender manner,a formal proposal to buy at a specified price,yes,"bankers are quite generous, they negotiate softly with tender"
"bankers,generous",truss,trust,"a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure",a trustful relationship,no,{}
"bankers,generous",manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"bankers are not only rich and generous, they have great manors at the table too."
"garden,grow food",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"garden,grow food",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,yes,"To grow food in the garden they used several chemicals that never move, they are placed in the still"
"garden,grow food",beet,beat,round red root vegetable,"come out better in a competition, race, or conflict",yes,You can grow your own vegetables but it will never beet the taste of restaurant food
bug spray,leaked,leaked,tell anonymously,enter or escape as through a hole or crack or fissure,yes,"The new design for a bug spray can was flawed, but the media leaked it before it could be fixed"
bug spray,Rabbit,rapid,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,characterized by speed; moving with or capable of moving with high speed,no,{}
bug spray,cop,cop,"choose not to do something, as out of fear of failing",uncomplimentary terms for a policeman,no,{}
"miss,ex - lumberjack",board,board,a committee having supervisory powers,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,yes,"The ex-lumberjack owned a wood company, he was very much in tune with the board"
"miss,ex - lumberjack",cuts,cuts,the act of reducing the amount or number,the act of shortening something by chopping off the ends,yes,"The ex-lumberjack had to close down his company, they made too many cuts"
"miss,ex - lumberjack",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"The ex-lumberjack was lost because of the storm, so he mist his train"
"coins,to be",tenderly,tender,with tenderness; in a tender manner,a formal proposal to buy at a specified price,no,{}
"coins,to be",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"coins,to be",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"dentists,hard day",makeup,makeup,cosmetics applied to the face to improve or change your appearance,an event that is substituted for a previously cancelled event,no,{}
"dentists,hard day",mark,mark,the impression created by doing something unusual or extraordinary that people notice and remember,a visible indication made on a surface,yes,"The dentist had a hard day when he lost a patient who bit him, it left a mark"
"dentists,hard day",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"mother,little boy,grim does not pay",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"mother,little boy,grim does not pay",steal,steal,take without the owner's consent,steal a base,yes,The mother did not want her son to play baseball so he didn’t learn to steal
"mother,little boy,grim does not pay",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,The mother didn’t let the boy go outside because there was a hail of a storm raging
"merry-go-round,politicians",magnate,magnet,a very wealthy or powerful businessman,(physics) a device that attracts iron and produces a magnetic field,yes,Politicians seem to stick together like magnates
"merry-go-round,politicians",rounded,rounded,seek out and bring together,express as a round number,yes,The politicians rounded up the circular hoops
"merry-go-round,politicians",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"chronically absent,career,employee,just  off",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"chronically absent,career,employee,just  off",board,board,a committee having supervisory powers,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,yes,The chronically absent employee worked at a wood shop but he was not on board
"chronically absent,career,employee,just  off",acquit,quit,pronounce not guilty of criminal charges,put an end to a state or an activity,yes,"The career employee is never in the office, he might acquit his job"
"she be in,governor' s daughter,daughter",board,board,a committee having supervisory powers,a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,yes,"The governors daughter led the wood company, she was on board"
"she be in,governor' s daughter,daughter",manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,Although the governors daughter had a huge house she still had no manors at the table.
"she be in,governor' s daughter,daughter",front,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,the side that is forward or prominent,no,{}
"judges,die,slur their",rhyme,crime,a piece of poetry,(criminal law) an act punishable by law; usually considered an evil act,yes,The judge wanted to punish the rapper defendant for his horrible rhymes
"judges,die,slur their",rounded,rounded,seek out and bring together,express as a round number,yes,The judges rounded up the balls outside their courthouse
"judges,die,slur their",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"human cannonball,late for work",rounded,rounded,seek out and bring together,express as a round number,yes,He worked as a human cannon ball but he would much prefer if he was the one who rounded up the cannon balls
"human cannonball,late for work",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"human cannonball,late for work",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"job,pens",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"I use pens at my job, but when it was foggy, I mist them on my desk"
"job,pens",dry,dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,humorously sarcastic or mocking,yes,"I don't like using pens at my job to write jokes when it is raining, I prefer to write dry humor"
"job,pens",sign,sign,cease broadcasting; get off the air; as of radio stations,communicate in sign language,no,{}
"bargain store promised,abacus,every purchase,would not  on it",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"bargain store promised,abacus,every purchase,would not  on it",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"bargain store promised,abacus,every purchase,would not  on it",steal,steal,take without the owner's consent,steal a base,yes,The bargain store did not allow baseball players in because they often steal
"off,interpreters,die",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"Interpreters never die, unless they mist their ride on a foggy evening."
"off,interpreters,die",fluently,flue,in a fluent manner,a conduit to carry off smoke,no,{}
"off,interpreters,die",sign,sign,cease broadcasting; get off the air; as of radio stations,communicate in sign language,no,{}
"i' ll take that,said",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"i' ll take that,said",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"i' ll take that,said",mint,mint,any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers,as if new,yes,"She said I'll that coin please, but it wasn't from the mint conditio"
"fruit vender,daughter",mint,mint,any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers,as if new,no,{}
"fruit vender,daughter",nagged,nagged,an old or over-worked horse,bother persistently with trivial complaints,yes,"The fruit vendor daughter hated the horse, she nagged it"
"fruit vender,daughter",delete,delight,cut or eliminate,a feeling of extreme pleasure or satisfaction,yes,"To her delete, the fruit vendor daughter got rid of the old horse"
"carnival,county",manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"The carnival people were mean, they had no manors."
"carnival,county",evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
"carnival,county",party,party,an organization to gain political power,a group of people gathered together for pleasure,yes,The carnival was perfect for a party of two!
politics,policy,policy,written contract or certificate of insurance,a plan of action adopted by an individual or social group,no,{}
politics,party,party,an organization to gain political power,a group of people gathered together for pleasure,yes,Politics isn’t that fun though it’s all about the party
politics,manor,manner,the mansion of a lord or wealthy person,a way of acting or behaving,yes,"People in politics are rich but also rude, they don’t have manor"
"place,dairy farmers",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,no,{}
"place,dairy farmers",maize,maze,tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times,complex system of paths or tunnels in which it is easy to get lost,yes,The dairy farmers are ready to get lost in gathering the maze this year
"place,dairy farmers",pest,best,a persistently annoying person,(superlative of `good') having the most positive qualities,yes,The dairy farmers are making sure to spray so they can have the pest yield in years
"married,jokes",evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
"married,jokes",hail,hell,enthusiastic greeting,noisy and unrestrained mischief,yes,"The married jokes in the storm hit me hard as hail, I could not stop laughing!"
"married,jokes",seriously,sirius,in a serious manner,the brightest star in the sky; in Canis Major,yes,"The astronomer made married jokes while looking for a star, but not too sirius"
"shoe sales,to,selection",boot,boot,footwear that covers the whole foot and lower leg,"in addition, by way of addition; furthermore",yes,The sales selection was very poor and they had high prices to boot!
"shoe sales,to,selection",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"shoe sales,to,selection",stalling,stalling,postpone doing what one should be doing,small area set off by walls for special use,yes,"The shoe store was very slow, like it had a stalling problem"
"commute,bunnies",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"Bunnies like to commute in the fog, but they often mist their destination"
"commute,bunnies",Rabbit,rapid,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,characterized by speed; moving with or capable of moving with high speed,yes,"The bunnies commute to work was very fast, very rabbit!"
"commute,bunnies",horse,hoarse,solid-hoofed herbivorous quadruped domesticated since prehistoric times,deep and harsh sounding as if from shouting or illness or emotion; ; ; ; - Virgil Thomson,no,{}
"finished,wall sculptors,it be a",impression,impression,a vague idea in which some confidence is placed,a symbol that is the result of printing or engraving,yes,"The finished wall really left an impression on you, especially when it falls on your head"
"finished,wall sculptors,it be a",go,go,become extinguished,leave the house to go somewhere,no,{}
"finished,wall sculptors,it be a",down,down,soft fine feathers,filled with melancholy and despondency,no,{}
"humor,desert,people",got,got,come into the possession of something concrete or abstract,receive as a retribution or punishment,no,{}
"humor,desert,people",still,still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed,(poetic) tranquil silence,yes,The people in the desert wanted a quiet drink so they found a still
"humor,desert,people",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"The people in the desert get lost at night due to the fog, last night they missed the correct turn"
"brandenburg concertos,listeing",loyally,loyola,with loyalty; in a loyal manner,Spaniard and Roman Catholic theologian and founder of the Society of Jesus; a leading opponent of the Reformation (1491-1556),yes,"The concertos were great for listening, I don't listen to anything else since I listen loyola in Europe"
"brandenburg concertos,listeing",meanly,mean,in a nasty ill-tempered manner,an average of n numbers computed by adding some function of the numbers and dividing by some function of n,no,{}
"brandenburg concertos,listeing",kilter,kilt,in working order,a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland,no,{}
hunts deer,baited,bate,"lure, entice, or entrap with bait",moderate or restrain; lessen the force of,no,{}
hunts deer,mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"He hunts deer in the fog, but today he is likely to mist it"
hunts deer,Rabbit,rapid,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,characterized by speed; moving with or capable of moving with high speed,yes,"He hunts deer and bunnies, but when it comes to running he is not rabbit"
"under,quilters,die",turn,turn,cause to change or turn into something different;assume new characteristics,"change orientation or direction, also in the abstract sense",no,{}
"under,quilters,die",mist,miss,a thin fog with condensation near the ground,fail to perceive or to catch with the senses or the mind,yes,"The quilters were under the fog, so they mist their turn"
"under,quilters,die",front,front,(meteorology) the atmospheric phenomenon created at the boundary between two different air masses,the side that is forward or prominent,no,{}
"stuffing,advice,bad",dribble,dribble,let saliva drivel from the mouth,propel,no,{}
"stuffing,advice,bad",pest,best,a persistently annoying person,(superlative of `good') having the most positive qualities,yes,"I had the pest stuffing advice for the bees, but they did not take it"
"stuffing,advice,bad",go,go,become extinguished,leave the house to go somewhere,no,{}
"calendar,twelve months,thief,stole",evilly,eve,in a wicked evil manner,(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden,no,{}
